,,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
Other sales,,361349,446893,431361,726067,578107,626487,673968,698524,618276,779187,1098748,1082556,902326,1350541.72,890524,1723939,2533876.569,1272785
Sales of scrap waste arms and other used current goods,,64496,23745,71309,24011,21506,18169,15653,17038,39291,38519,48968,12113,14502,39042,5890,7416,14414,8571
Transfers received,,548,4171,291605,237515,250895,360296,571490,422477,549922,530678,495915,330504,386234,388398,422588,363953,639965,661065
Fines penalties and forfeits,,417121,1469019,478895,1698145,1457092,934175,992519,1466193,1173935,965028,666963,466043,1751945,367146,563495,428113,543527.4531,578902
Interest dividends and rent on land,,5993025,6851070,7524686,3651459,8169730,10340305,10220073,11171732.26,12102118.52,10112539.78,11188619.46,12725550.15,16845116,20985598,20927165,33880409,33805137.69,23136285.89
Interest,,,,,,,,,,,,,,,,,,,
Cash and cash equivalents,,86178,91240,90080,127053,123241,233598.3518,3223600,2584653,4466457,4487401,3981450,3484812,6833636,8276106,6502135,5524230,7888626.521,7050204
Interest on loan,,7171,42684,41884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exchequer investments,,2552673,1756587,4829474,2005699,2400884,2725256.648,0,0,0,0,0,0,0,0,0,0,0,0
Sterilisation deposits,,1710715,3109463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dividends,,,,,,,,,,,,,,,,,,,
Airports Company South Africa,,231257,100709,0,0,0,0,0,73933,223797,204514,255671,266854,109989,42293,0,916,0,0
South African Special Risks Insurance Association,,0,0,0,78911,153299,0,50000,0,205778,263005,151200,242979,80000,171305,187901,0,198048,198048
Vodacom,,0,0,0,0,735018,1118057,0,1708130,1666721,828216,0,0,32,0,0,0,58,63
Industrial Development Corporation,,70007,75000,100000,120000,0,50000,1666721,50000,50000,50000,20000,50000,50000,370,0,0,0,50000
Registration of Deeds Trading Account surplus,,124027,119215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reserve Bank (National Treasury),,16299,1685,119005,0,0,126656,0,107287,0,0,0,0,0,0,0,0,362785,99000
Telkom,,1035238,1242285,1366514,238105,258810,300219,0,0,0,507263,830813,846603,722859,664292,103759,0,0,0
Department of Mineral Resources,,0,0,0,227752,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other,,0,0,0,0,50000,0,156900,0,0,291,1218,0,0,0,0,0,800,2353
Rent on land,,,,,,,,,,,,,,,,,,,
Mineral and petroleum royalties,,0,0,0,0,3554722.058,5611538.67,5026144,6439250.962,5422007.12,3707898.275,5801670.378,7617251.42,8611781,11830241,14227647,28456419,25337793,15717949
Mining leases and ownership,,-33506,55916,708413,633125,860238,79732.007,0,99777.30016,33038.39531,35489.50418,111696.0823,179776.7257,413477,-25187,-105789,-117084,-157,0
Royalties prospecting fees and surface rental,,188485,244101,255680,210579,21744,89193,87001,104850,31698,22240,23616,23387,19000,21160,9412,13035,13462.16991,14766.88714
Land rent,,4481,12185,13636,10235,11773.94192,6054.323,9707,3851,2622,6222,11285,13887,4342,5018,2100,2893,3722,3902
Sales of capital assets,,38785,230100,131244,36263,35448,114745,94462,37002,77437,121142,149200,197491,111917,120742,124134,136302,187256,163117
Financial transactions in assets and liabilities,,1739790,1296910,797067,957093,4226273,9758163,13969548,15957324,15333408,43387616,18224915,19540965,14453119,15807178.48,28404741,8854020,17024918.04,33979632
ICASA,,0,0,0,0,0,0,0,0,0,1324583,1168589,1318423,1397634,1479589,1504974,1833615,10179509,7897446
Competition commission,,0,0,0,0,0,0,0,0,0,676495,247982,2001,1369239,0,209625,156964,172290,190500
TOTAL NON-TAX REVENUE,,10843316,12692579,12616184,8894421,16473986,24401513,28467697,30725836.26,30899583.52,57275714.78,33271788.46,35849271.15,35869028,40383988.2,52052738,46484719,56204575.5,61293869.89
TOTAL MAIN BUDGET REVENUE,,481196994,560794648,608795723,579684459.2,672751453.5,745291262.2,800142230.9,887366172.9,965456946.2,1076236424,1137904427,1196362272,1275270633,1345869934,1238368732,1564272752,1699218536,1712835566
National Revenue Fund receipts,,,,,,,,,11709339,12646970,14377522,14240651,16600255,11999374,12801333,25769918,6068425,5221250,23119123
Revaluation profits on foreign currency transactions,,,,,,,,,5670623,4406734,8869128,10710440,13115597,10390835,8958256,11042461,3172356,4775102,19316000
Premiums on loan transactions,,,,,,,,,3889272,5467553,2873818,2594049,1132995,1161388,3462654,14327910,1380512,442779,297045
Premiums on debt portfolio restructuring (switches),,,,,,,,,1621035,2730037,2564903,0,0,444598,378078,397326,1313261,0,2029
Liquidation of South African Special Risks Insurance Association investment,,,,,,,,,75000,40000,0,0,0,0,0,0,0,0,0
Other,,,,,,,,,0,0,0,936162,2351663,2553,2345,2221,202296,3369,3504049
